subject_id,part,set_number,size,rt,correct,correct_letters,letters_recalled
4,sentence-post,,,7444.0749999485,1,,
4,sentence-post,,,5683.2249999861,1,,
4,sentence-post,,,8269.570000004,0,,
4,sentence-post,,,6262.4799999758,1,,
4,recall-post,1,5,6876.484999957,1,NSTLK,NSTLK
4,sentence-post,,,7398.6900000018,1,,
4,sentence-post,,,9041.2350000115,1,,
4,sentence-post,,,4958.964999998,0,,
4,sentence-post,,,7293.0350000388,0,,
4,recall-post,2,4,8342.650000006,0,FHLN,FHNL
4,sentence-post,,,7832.7500000014,1,,
4,sentence-post,,,7448.8399999682,0,,
4,sentence-post,,,9645.6750000361,1,,
4,sentence-post,,,4166.1150000291,1,,
4,sentence-post,,,7614.6949999966,0,,
4,sentence-post,,,5479.0350000258,1,,
4,recall-post,3,6,10152.780000004,0,SPQYRJ,SPQYJ
4,sentence-post,,,6850.1149999793,1,,
4,sentence-post,,,8842.2599999467,0,,
4,sentence-post,,,4777.6850000373,1,,
4,sentence-post,,,3546.1549999891,1,,
4,sentence-post,,,9069.0699999686,1,,
4,recall-post,4,5,6407.0749999955,1,QSJNT,QSJNT
4,sentence-post,,,9242.4350000219,0,,
4,sentence-post,,,4088.459999999,1,,
4,sentence-post,,,7174.9800000107,0,,
4,sentence-post,,,7652.7450000285,1,,
4,recall-post,5,4,7386.3649999839,1,JNRP,JNRP
4,sentence-post,,,6394.0300000249,1,,
4,sentence-post,,,5492.0549999806,1,,
4,sentence-post,,,5470.9300000104,1,,
4,sentence-post,,,9890.3750000172,0,,
4,sentence-post,,,5328.1849999912,1,,
4,sentence-post,,,5175.1850000001,0,,
4,recall-post,6,6,9902.379999985,1,TLJSKN,TLJSKN
8,sentence-pre,,,4136.4650000178,1,,
8,sentence-pre,,,3665.089999995,1,,
8,sentence-pre,,,3968.5400000017,1,,
8,sentence-pre,,,5539.9749999924,1,,
8,recall-pre,1,4,6176.3400000054,1,LHKS,LHKS
8,sentence-pre,,,3822.5300000049,1,,
8,sentence-pre,,,4453.7999999884,1,,
8,sentence-pre,,,4328.8900000043,1,,
8,sentence-pre,,,4508.8450000039,1,,
8,recall-pre,2,4,10186.329999997,0,JRKF,LJNF
8,sentence-pre,,,4722.3650000233,1,,
8,sentence-pre,,,5194.8350000021,1,,
8,sentence-pre,,,2738.7500000186,1,,
8,sentence-pre,,,4212.6550000103,1,,
8,sentence-pre,,,5917.8400000092,1,,
8,recall-pre,3,5,6637.0600000082,0,PQNRJ,PQ_NJ
8,sentence-pre,,,5066.1349999718,1,,
8,sentence-pre,,,5313.6249999807,1,,
8,sentence-pre,,,3671.8549999932,1,,
8,sentence-pre,,,4882.2999999975,1,,
8,sentence-pre,,,3892.285000009,1,,
8,recall-pre,4,5,6691.9000000053,1,QTFHY,QTFHY
8,sentence-pre,,,5870.4800000123,1,,
8,sentence-pre,,,5121.7750000069,1,,
8,sentence-pre,,,5063.7300000235,1,,
8,sentence-pre,,,4416.7400000151,1,,
8,sentence-pre,,,6258.9150000131,1,,
8,sentence-pre,,,5951.0399999854,1,,
8,recall-pre,5,6,8884.4800000079,0,NSPLTJ,_LNQJ
8,sentence-pre,,,7586.0199999879,1,,
8,sentence-pre,,,5275.569999998,1,,
8,sentence-pre,,,7270.4000000085,1,,
8,sentence-pre,,,4228.2000000123,1,,
8,sentence-pre,,,4339.799999987,1,,
8,sentence-pre,,,3775.0150000211,1,,
8,recall-pre,6,6,7404.0699999896,1,NRTLJY,NRTLJY
8,sentence-post,,,4007.0150000104,1,,
8,sentence-post,,,4289.5099999728,1,,
8,sentence-post,,,3616.3599999854,1,,
8,sentence-post,,,3543.425000011,1,,
8,sentence-post,,,9305.8550000135,1,,
8,sentence-post,,,5202.7299999897,1,,
8,recall-post,1,6,21429.635000007,0,LYSNTK,LYSNT
8,sentence-post,,,5434.6199999852,1,,
8,sentence-post,,,7484.7599999919,0,,
8,sentence-post,,,2510.7699999935,1,,
8,sentence-post,,,3503.6600000169,1,,
8,sentence-post,,,4296.3449999806,1,,
8,recall-post,2,5,7581.0599999968,0,LPFRH,LYPRH
8,sentence-post,,,7910.5850000056,0,,
8,sentence-post,,,4641.9049999965,1,,
8,sentence-post,,,3417.1300000157,1,,
8,sentence-post,,,4543.3900000062,1,,
8,recall-post,3,4,6850.4750000141,1,RJLF,RJLF
8,sentence-post,,,3706.8199999919,1,,
8,sentence-post,,,3019.2950000055,1,,
8,sentence-post,,,3425.894999993,1,,
8,sentence-post,,,4592.0299999993,1,,
8,sentence-post,,,4784.1800000174,1,,
8,sentence-post,,,3995.9349999842,1,,
8,recall-post,4,6,8132.1449999814,0,PSHRYJ,P_HLRJ
8,sentence-post,,,3567.6149999779,1,,
8,sentence-post,,,3156.7400000058,1,,
8,sentence-post,,,2673.1900000013,1,,
8,sentence-post,,,3702.8649999993,1,,
8,sentence-post,,,3743.1599999839,1,,
8,recall-post,5,5,6654.1649999856,1,RJYHN,RJYHN
8,sentence-post,,,3965.7650000011,1,,
8,sentence-post,,,7157.8299999819,1,,
8,sentence-post,,,3179.0700000129,1,,
8,sentence-post,,,4668.5449999934,1,,
8,recall-post,6,4,6133.4499999941,1,LJKR,LJKR
10,sentence-pre,,,3085,1,,
10,sentence-pre,,,2912,1,,
10,sentence-pre,,,3399,1,,
10,sentence-pre,,,3573,1,,
10,sentence-pre,,,3944,1,,
10,sentence-pre,,,4592,1,,
10,recall-pre,1,6,12805,1,PHJYSR,PHJYSR
10,sentence-pre,,,3366,1,,
10,sentence-pre,,,3724,1,,
10,sentence-pre,,,3105,1,,
10,sentence-pre,,,4015,1,,
10,sentence-pre,,,3302,1,,
10,recall-pre,2,5,13629,0,KLYHS,KLYR
10,sentence-pre,,,3630,1,,
10,sentence-pre,,,2898,1,,
10,sentence-pre,,,3542,1,,
10,sentence-pre,,,3848,1,,
10,sentence-pre,,,3936,1,,
10,recall-pre,3,5,9741,0,TYJKP,TY_KP
10,sentence-pre,,,3264,1,,
10,sentence-pre,,,3415,1,,
10,sentence-pre,,,4845,1,,
10,sentence-pre,,,5124,0,,
10,recall-pre,4,4,8472,0,QFHL,QP_L
10,sentence-pre,,,4466,1,,
10,sentence-pre,,,2299,1,,
10,sentence-pre,,,2809,1,,
10,sentence-pre,,,5312,1,,
10,sentence-pre,,,5133,1,,
10,sentence-pre,,,4873,1,,
10,recall-pre,5,6,11927,1,SNTQKF,SNTQKF
10,sentence-pre,,,4519,1,,
10,sentence-pre,,,4425,1,,
10,sentence-pre,,,3340,1,,
10,sentence-pre,,,3143,1,,
10,recall-pre,6,4,7643,1,LYST,LYST
10,sentence-post,,,5583,1,,
10,sentence-post,,,4733,1,,
10,sentence-post,,,3401,1,,
10,sentence-post,,,4229,1,,
10,sentence-post,,,3458,0,,
10,sentence-post,,,3993,1,,
10,recall-post,1,6,8269,0,QHTRPN,QHTPR_
10,sentence-post,,,3682,0,,
10,sentence-post,,,4463,0,,
10,sentence-post,,,3483,1,,
10,sentence-post,,,3955,1,,
10,sentence-post,,,3353,1,,
10,recall-post,2,5,6291,1,TNLKF,TNLKF
10,sentence-post,,,3374,1,,
10,sentence-post,,,3176,1,,
10,sentence-post,,,2573,1,,
10,sentence-post,,,3266,1,,
10,sentence-post,,,3261,1,,
10,recall-post,3,5,17775,0,KFLSR,KLQF_
10,sentence-post,,,2996,1,,
10,sentence-post,,,3830,1,,
10,sentence-post,,,2679,1,,
10,sentence-post,,,4710,1,,
10,sentence-post,,,4377,1,,
10,sentence-post,,,4833,1,,
10,recall-post,4,6,9284,0,NSYHLR,_____R
10,sentence-post,,,4881,1,,
10,sentence-post,,,3644,1,,
10,sentence-post,,,4548,1,,
10,sentence-post,,,3688,1,,
10,recall-post,5,4,5221,1,STHN,STHN
10,sentence-post,,,3530,1,,
10,sentence-post,,,4463,1,,
10,sentence-post,,,2375,1,,
10,sentence-post,,,4079,1,,
10,recall-post,6,4,6450,0,KPNY,KLPY
20,sentence-pre,,,3850,1,,
20,sentence-pre,,,4385,1,,
20,sentence-pre,,,4785,1,,
20,sentence-pre,,,4738,1,,
20,sentence-pre,,,4161,1,,
20,recall-pre,1,5,8316,1,LNHSY,LNHSY
20,sentence-pre,,,5942,1,,
20,sentence-pre,,,3768,1,,
20,sentence-pre,,,4520,1,,
20,sentence-pre,,,5586,1,,
20,recall-pre,2,4,6102,1,QFYT,QFYT
20,sentence-pre,,,4327,1,,
20,sentence-pre,,,3725,1,,
20,sentence-pre,,,4907,1,,
20,sentence-pre,,,6654,1,,
20,sentence-pre,,,6281,1,,
20,sentence-pre,,,5957,1,,
20,recall-pre,3,6,7142,1,FKLQTP,FKLQTP
20,sentence-pre,,,3480,1,,
20,sentence-pre,,,3464,1,,
20,sentence-pre,,,3455,1,,
