"subjectid","part","size","set_number","letters_recalled","correct_letters","ANL","PCU","PCL"
"24","recall-pre","6","1","YFLSNH","YFLSNH","1","1","6"
"24","recall-pre","6","2","TQPJY","TQPNJY","0","0.5","5"
"24","recall-pre","5","3","QSLNH","QSLNH","1","1","5"
"24","recall-pre","4","4","NPJS","NPJS","1","1","4"
"24","recall-pre","4","5","QPJN","QPJN","1","1","4"
"24","recall-pre","5","6","PYKF","PYHKF","0","0.4","4"
"24","recall-post","4","1","HPNY","HPNY","1","1","4"
"24","recall-post","4","2","HQNY","HTNY","0","0.75","3"
"24","recall-post","6","3","JHRPQ","JSHRPQ","0","0.833333333333333","5"
"24","recall-post","6","4","PRHFKQ","PRHFKQ","1","1","6"
"24","recall-post","5","5","QTLNK","QTJNK","0","0.8","4"
"24","recall-post","5","6","RQFK","RQFJK","0","0.6","4"
"28","recall-pre","6","1","JFSLH_","JFSHQP","0","0.5","4"
"28","recall-pre","5","2","SKYLJ","SKYLJ","1","1","5"
"28","recall-pre","6","3","KHFPLS","KHPFSL","0","0.333333333333333","6"
"28","recall-pre","4","4","RLSK","RSLK","0","0.5","4"
"28","recall-pre","5","5","JL__Y","JNQSY","0","0.4","2"
"28","recall-pre","4","6","JYHS","JYHS","1","1","4"
"28","recall-post","6","1","PLHQFJ","PLHQFJ","1","1","6"
"28","recall-post","4","2","FTFL","NTFL","0","0.75","3"
"28","recall-post","6","3","FQPRY","NQPRYL","0","0.666666666666667","4"
"28","recall-post","5","4","QKL_H","QKNHL","0","0.4","4"
"28","recall-post","5","5","HJKQK","HJQFK","0","0.6","4"
"28","recall-post","4","6","TRYS","TRYS","1","1","4"
"22","recall-pre","4","1","LTJT","STJL","0","0.25","3"
"22","recall-pre","6","2","____J","NHLTPJ","0","0","1"
"22","recall-pre","5","3","JRLYH","JRLYH","1","1","5"
"22","recall-pre","6","4","LHYRJT","LHYRJT","1","1","6"
"22","recall-pre","4","5","LRNS","LRNS","1","1","4"
"22","recall-pre","5","6","SQPTL","SQPTL","1","1","5"
"22","recall-post","5","1","JRYPK","JRYPK","1","1","5"
"22","recall-post","4","2","JP_R","JPYR","0","0.75","3"
"22","recall-post","6","3","NKJSPT","NKJSPT","1","1","6"
"22","recall-post","4","4","NTHL","NTHL","1","1","4"
"22","recall-post","6","5","NYKRQT","NYKRQT","1","1","6"
"22","recall-post","5","6","RJNYK","RJNYK","1","1","5"
"26","recall-pre","6","1","JYPHS","JYPHSL","0","0.833333333333333","5"
"26","recall-pre","4","2","SNLT","SNLT","1","1","4"
"26","recall-pre","5","3","TQSJN","TQSJN","1","1","5"
"26","recall-pre","4","4","PNYH","PNYH","1","1","4"
"26","recall-pre","6","5","RHSFTQ","RHSFTQ","1","1","6"
"26","recall-pre","5","6","YLJFK","YLJFK","1","1","5"
"26","recall-post","4","1","NKYF","NKYF","1","1","4"
"26","recall-post","5","2","JSYLT","JSYLT","1","1","5"
"26","recall-post","5","3","PJNSY","PJNSY","1","1","5"
"26","recall-post","6","4","LYJTNR","LYJTNR","1","1","6"
"26","recall-post","6","5","JNYKQH","JNYKQH","1","1","6"
"26","recall-post","4","6","SYFN","SYFN","1","1","4"
