groupe,subject_id,part,set_number,size,rt,correct,correct_letters,letters_recalled
transc,6,sentence-post,,,9877.7499999995,0,,
transc,6,sentence-post,,,8988.9849999892,0,,
transc,6,sentence-post,,,9543.4650000101,1,,
transc,6,sentence-post,,,3949.3899999941,1,,
transc,6,sentence-post,,,5349.524999998,1,,
transc,6,recall-post,2,6,4472.5449999971,0,HRSPFK,PFK
transc,6,sentence-post,,,5565.9949999969,1,,
transc,6,sentence-post,,,4269.9100000029,1,,
transc,6,sentence-post,,,4822.4300000002,1,,
transc,6,sentence-post,,,5437.235000005,1,,
transc,6,sentence-post,,,3790.5800000005,1,,
transc,6,recall-post,3,5,5078.3300000038,1,NFRJL,NFRJL
transc,6,sentence-post,,,7230.3399999947,1,,
transc,6,sentence-post,,,4396.9000000069,1,,
transc,6,sentence-post,,,4894.8299999903,1,,
transc,6,sentence-post,,,4399.1150000072,1,,
transc,6,recall-post,4,4,5252.5100000058,1,LTFP,LTFP
transc,6,sentence-post,,,5574.2700000117,1,,
transc,6,sentence-post,,,3975.1350000007,1,,
transc,6,sentence-post,,,4599.1199999992,1,,
transc,6,sentence-post,,,5085.2650000015,1,,
transc,6,sentence-post,,,6212.0750000034,1,,
transc,6,recall-post,5,5,7438.6349999984,1,RYTQK,RYTQK
transc,6,sentence-post,,,6014.0099999988,1,,
transc,6,sentence-post,,,4293.6550000012,1,,
transc,6,sentence-post,,,2884.9650000045,1,,
transc,6,sentence-post,,,5157.9800000037,1,,
transc,6,recall-post,6,4,9150.3850000007,0,HFTQ,HFTP
transc,4,sentence-pre,,,8166.51000001,0,,
transc,4,sentence-pre,,,7890.7449999824,1,,
transc,4,sentence-pre,,,10608.559999964,1,,
transc,4,sentence-pre,,,6955.8650000254,1,,
transc,4,recall-pre,1,4,11276.844999986,1,TPRQ,TPRQ
transc,4,sentence-pre,,,11277.450000052,0,,
transc,4,sentence-pre,,,6631.939999992,1,,
transc,4,sentence-pre,,,11510.425000044,1,,
