,groupe,subject_id,part,set_number,size,rt,correct,correct_letters,letters_recalled,sim,dist
82,transc,6,sentence-pre,,,6550.7250000082,1,,,1.0,0.0
83,transc,6,sentence-pre,,,5895.1899999956,1,,,1.0,0.0
84,transc,6,recall-pre,2.0,6.0,9109.1050000105,0,RJPSTF,RJPNTF,0.8333333333333334,0.16666666666666666
85,transc,6,sentence-pre,,,6934.0900000097,1,,,1.0,0.0
86,transc,6,sentence-pre,,,5062.2000000003,1,,,1.0,0.0
87,transc,6,sentence-pre,,,6534.7150000016,1,,,1.0,0.0
88,transc,6,sentence-pre,,,6245.2599999961,1,,,1.0,0.0
89,transc,6,recall-pre,3.0,4.0,4759.8949999956,0,HJTR,RJTR,0.75,0.25
90,transc,6,sentence-pre,,,5973.840000006,1,,,1.0,0.0
91,transc,6,sentence-pre,,,4485.440000004,1,,,1.0,0.0
92,transc,6,sentence-pre,,,7901.7250000034,1,,,1.0,0.0
93,transc,6,sentence-pre,,,5304.3000000034,1,,,1.0,0.0
94,transc,6,recall-pre,4.0,4.0,7614.6799999988,1,TFQH,TFQH,1.0,0.0
95,transc,6,sentence-pre,,,5006.1399999977,1,,,1.0,0.0
96,transc,6,sentence-pre,,,4893.8849999977,1,,,1.0,0.0
97,transc,6,sentence-pre,,,12543.475000013,1,,,1.0,0.0
98,transc,6,sentence-pre,,,3772.8999999963,1,,,1.0,0.0
99,transc,6,sentence-pre,,,4391.3200000097,1,,,1.0,0.0
100,transc,6,recall-pre,5.0,5.0,7686.4649999916,0,NHKYT,PRYH,0.19999999999999996,0.8
101,transc,6,sentence-pre,,,7469.9250000122,0,,,1.0,0.0
102,transc,6,sentence-pre,,,4806.030000007,1,,,1.0,0.0
103,transc,6,sentence-pre,,,8087.6649999991,1,,,1.0,0.0
104,transc,6,sentence-pre,,,6621.7299999989,1,,,1.0,0.0
105,transc,6,sentence-pre,,,4413.274999999,1,,,1.0,0.0
106,transc,6,sentence-pre,,,7679.6349999931,1,,,1.0,0.0
107,transc,6,recall-pre,6.0,6.0,9934.7050000069,0,NPHJRY,NJPHJRY,0.8571428571428572,0.14285714285714285
108,transc,6,sentence-post,,,4916.5700000012,1,,,1.0,0.0
109,transc,6,sentence-post,,,4782.6050000004,1,,,1.0,0.0
110,transc,6,sentence-post,,,3621.8500000103,1,,,1.0,0.0
111,transc,6,sentence-post,,,3861.2849999918,1,,,1.0,0.0
112,transc,6,sentence-post,,,4894.7849999969,1,,,1.0,0.0
113,transc,6,sentence-post,,,5383.3150000139,1,,,1.0,0.0
114,transc,6,recall-post,1.0,6.0,13362.359999999,0,TKSPFH,TKSPF,0.8333333333333334,0.16666666666666666
115,transc,6,sentence-post,,,7917.7750000088,1,,,1.0,0.0
116,transc,6,sentence-post,,,9877.7499999995,0,,,1.0,0.0
117,transc,6,sentence-post,,,8988.9849999892,0,,,1.0,0.0
118,transc,6,sentence-post,,,9543.4650000101,1,,,1.0,0.0
119,transc,6,sentence-post,,,3949.3899999941,1,,,1.0,0.0
120,transc,6,sentence-post,,,5349.524999998,1,,,1.0,0.0
121,transc,6,recall-post,2.0,6.0,4472.5449999971,0,HRSPFK,PFK,0.5,0.5
122,transc,6,sentence-post,,,5565.9949999969,1,,,1.0,0.0
123,transc,6,sentence-post,,,4269.9100000029,1,,,1.0,0.0
124,transc,6,sentence-post,,,4822.4300000002,1,,,1.0,0.0
125,transc,6,sentence-post,,,5437.235000005,1,,,1.0,0.0
126,transc,6,sentence-post,,,3790.5800000005,1,,,1.0,0.0
127,transc,6,recall-post,3.0,5.0,5078.3300000038,1,NFRJL,NFRJL,1.0,0.0
128,transc,6,sentence-post,,,7230.3399999947,1,,,1.0,0.0
129,transc,6,sentence-post,,,4396.9000000069,1,,,1.0,0.0
130,transc,6,sentence-post,,,4894.8299999903,1,,,1.0,0.0
131,transc,6,sentence-post,,,4399.1150000072,1,,,1.0,0.0
132,transc,6,recall-post,4.0,4.0,5252.5100000058,1,LTFP,LTFP,1.0,0.0
133,transc,6,sentence-post,,,5574.2700000117,1,,,1.0,0.0
134,transc,6,sentence-post,,,3975.1350000007,1,,,1.0,0.0
135,transc,6,sentence-post,,,4599.1199999992,1,,,1.0,0.0
136,transc,6,sentence-post,,,5085.2650000015,1,,,1.0,0.0
137,transc,6,sentence-post,,,6212.0750000034,1,,,1.0,0.0
138,transc,6,recall-post,5.0,5.0,7438.6349999984,1,RYTQK,RYTQK,1.0,0.0
139,transc,6,sentence-post,,,6014.0099999988,1,,,1.0,0.0
140,transc,6,sentence-post,,,4293.6550000012,1,,,1.0,0.0
141,transc,6,sentence-post,,,2884.9650000045,1,,,1.0,0.0
142,transc,6,sentence-post,,,5157.9800000037,1,,,1.0,0.0
143,transc,6,recall-post,6.0,4.0,9150.3850000007,0,HFTQ,HFTP,0.75,0.25
144,transc,4,sentence-pre,,,8166.51000001,0,,,1.0,0.0
145,transc,4,sentence-pre,,,7890.7449999824,1,,,1.0,0.0
146,transc,4,sentence-pre,,,10608.559999964,1,,,1.0,0.0
147,transc,4,sentence-pre,,,6955.8650000254,1,,,1.0,0.0
148,transc,4,recall-pre,1.0,4.0,11276.844999986,1,TPRQ,TPRQ,1.0,0.0
149,transc,4,sentence-pre,,,11277.450000052,0,,,1.0,0.0
150,transc,4,sentence-pre,,,6631.939999992,1,,,1.0,0.0
151,transc,4,sentence-pre,,,11510.425000044,1,,,1.0,0.0
152,transc,4,sentence-pre,,,11247.389999975,1,,,1.0,0.0
153,transc,4,sentence-pre,,,11549.109999964,1,,,1.0,0.0
154,transc,4,sentence-pre,,,14254.330000025,1,,,1.0,0.0
155,transc,4,recall-pre,2.0,6.0,14239.40000002,0,RYTSKH,TYTPS,0.33333333333333337,0.6666666666666666
156,transc,4,sentence-pre,,,10415.825000033,1,,,1.0,0.0
157,transc,4,sentence-pre,,,9205.8500000276,1,,,1.0,0.0
158,transc,4,sentence-pre,,,7237.4249999993,1,,,1.0,0.0
159,transc,4,sentence-pre,,,11929.914999986,0,,,1.0,0.0
160,transc,4,sentence-pre,,,16287.700000044,0,,,1.0,0.0
161,transc,4,sentence-pre,,,15887.589999998,0,,,1.0,0.0
162,transc,4,recall-pre,3.0,6.0,8615.8600000199,1,YJPNKR,YJPNKR,1.0,0.0
163,transc,4,sentence-pre,,,,0,,,1.0,0.0
164,transc,4,sentence-pre,,,6731.2400000519,1,,,1.0,0.0
165,transc,4,sentence-pre,,,5421.3350000209,0,,,1.0,0.0
166,transc,4,sentence-pre,,,7136.9100000011,1,,,1.0,0.0
167,transc,4,sentence-pre,,,6420.8000000217,1,,,1.0,0.0
168,transc,4,recall-pre,4.0,5.0,8355.4850000073,1,JQNHK,JQNHK,1.0,0.0
169,transc,4,sentence-pre,,,13087.380000041,1,,,1.0,0.0
170,transc,4,sentence-pre,,,6138.9400000335,0,,,1.0,0.0
171,transc,4,sentence-pre,,,8589.7850000183,0,,,1.0,0.0
172,transc,4,sentence-pre,,,8056.3749999856,0,,,1.0,0.0
173,transc,4,sentence-pre,,,10441.959999967,0,,,1.0,0.0
174,transc,4,recall-pre,5.0,5.0,9078.5599999945,1,KJQYT,KJQYT,1.0,0.0
175,transc,4,sentence-pre,,,14639.855000016,1,,,1.0,0.0
176,transc,4,sentence-pre,,,9339.9250000366,0,,,1.0,0.0
177,transc,4,sentence-pre,,,7815.5649999972,1,,,1.0,0.0
178,transc,4,sentence-pre,,,9352.4949999992,1,,,1.0,0.0
179,transc,4,recall-pre,6.0,4.0,6376.4349999838,0,YPLQ,YKLQ,0.75,0.25
180,transc,4,sentence-post,,,5226.5049999696,1,,,1.0,0.0
181,transc,4,sentence-post,,,7444.0749999485,1,,,1.0,0.0
182,transc,4,sentence-post,,,5683.2249999861,1,,,1.0,0.0
183,transc,4,sentence-post,,,8269.570000004,0,,,1.0,0.0
184,transc,4,sentence-post,,,6262.4799999758,1,,,1.0,0.0
185,transc,4,recall-post,1.0,5.0,6876.484999957,1,NSTLK,NSTLK,1.0,0.0
186,transc,4,sentence-post,,,7398.6900000018,1,,,1.0,0.0
187,transc,4,sentence-post,,,9041.2350000115,1,,,1.0,0.0
188,transc,4,sentence-post,,,4958.964999998,0,,,1.0,0.0
189,transc,4,sentence-post,,,7293.0350000388,0,,,1.0,0.0
190,transc,4,recall-post,2.0,4.0,8342.650000006,0,FHLN,FHNL,0.5,0.5
