subject_id,part,set_number,size,rt,correct,correct_letters,letters_recalled
30,sentence-pre,,,5728,0,,
30,sentence-pre,,,8707,1,,
30,sentence-pre,,,6114,1,,
30,sentence-pre,,,6753,1,,
30,recall-pre,1,4,9525,1,LNHY,LNHY
30,sentence-pre,,,6957,1,,
30,sentence-pre,,,7626,0,,
30,sentence-pre,,,7854,0,,
30,sentence-pre,,,6050,0,,
30,sentence-pre,,,6394,1,,
30,recall-pre,2,5,17501,0,TLJKN,TLJQN
30,sentence-pre,,,8312,0,,
30,sentence-pre,,,5387,1,,
30,sentence-pre,,,6171,1,,
30,sentence-pre,,,10238,1,,
30,sentence-pre,,,,0,,
30,sentence-pre,,,4315,0,,
30,recall-pre,3,6,17023,0,YRFQSN,YRFQSL
30,sentence-pre,,,6580,1,,
30,sentence-pre,,,6340,1,,
30,sentence-pre,,,5285,1,,
30,sentence-pre,,,4438,1,,
30,sentence-pre,,,5820.9999999999,1,,
30,recall-pre,4,5,20814,0,HSTJN,YSTJN
30,sentence-pre,,,7074,1,,
30,sentence-pre,,,,0,,
30,sentence-pre,,,5233.0000000001,1,,
30,sentence-pre,,,5973,1,,
30,sentence-pre,,,6334,0,,
30,sentence-pre,,,6974.9999999999,0,,
30,recall-pre,5,6,38462,0,RYHFPT,RYHFP
30,sentence-pre,,,8286,1,,
30,sentence-pre,,,8185.0000000001,1,,
30,sentence-pre,,,6583.0000000001,0,,
30,sentence-pre,,,6231,1,,
30,recall-pre,6,4,6499,1,THQL,THQL
30,sentence-post,,,6201,1,,
30,sentence-post,,,6006.9999999995,0,,
30,sentence-post,,,4183,0,,
30,sentence-post,,,1413,1,,
30,recall-post,1,4,14076,1,PSYK,PSYK
30,sentence-post,,,5756,0,,
30,sentence-post,,,6427.9999999995,0,,
30,sentence-post,,,5246,0,,
30,sentence-post,,,7696,0,,
30,recall-post,2,4,8484,1,QSPH,QSPH
30,sentence-post,,,7755,1,,
30,sentence-post,,,3453,0,,
30,sentence-post,,,6924,0,,
30,sentence-post,,,7104,0,,
30,sentence-post,,,8464,1,,
30,sentence-post,,,3713.0000000005,0,,
30,recall-post,3,6,13424,1,RKTPSL,RKTPSL
30,sentence-post,,,2798.0000000005,0,,
30,sentence-post,,,2329.0000000005,1,,
30,sentence-post,,,3691,0,,
30,sentence-post,,,1977,1,,
30,sentence-post,,,4350,1,,
30,sentence-post,,,3003,1,,
30,recall-post,4,6,11221,1,LNFJPS,LNFJPS
30,sentence-post,,,5030,1,,
30,sentence-post,,,7272,1,,
30,sentence-post,,,3624,1,,
30,sentence-post,,,7024,1,,
30,sentence-post,,,4839,1,,
30,recall-post,5,5,8791,0,SQFKT,SQFRT
30,sentence-post,,,8644,1,,
30,sentence-post,,,3345,1,,
30,sentence-post,,,7114,1,,
30,sentence-post,,,6147,1,,
30,sentence-post,,,4331,1,,
30,recall-post,6,5,8165,1,HQRTL,HQRTL
34,sentence-pre,,,6618.6749999979,0,,
34,sentence-pre,,,9009.5800000054,0,,
34,sentence-pre,,,6620.2950000006,1,,
34,sentence-pre,,,9704.7450000027,1,,
34,sentence-pre,,,6701.215000001,0,,
34,recall-pre,1,5,20950.805,1,PLNJQ,PLNJQ
34,sentence-pre,,,7867.2200000001,0,,
34,sentence-pre,,,7988.3049999989,1,,
34,sentence-pre,,,6148.2350000006,0,,
34,sentence-pre,,,8267.4849999967,1,,
34,sentence-pre,,,11684.695000004,1,,
34,sentence-pre,,,9887.2400000037,1,,
34,recall-pre,2,6,37798.045000003,0,RJLSKY,RLJY
34,sentence-pre,,,12596.140000001,0,,
34,sentence-pre,,,10462.925,1,,
34,sentence-pre,,,9002.2750000062,0,,
34,sentence-pre,,,7206.1299999987,1,,
34,recall-pre,3,4,11110.370000002,0,LFYK,RLJK
34,sentence-pre,,,9669.8000000033,1,,
34,sentence-pre,,,9034.9449999994,1,,
34,sentence-pre,,,7566.8450000012,1,,
34,sentence-pre,,,7918.4200000018,1,,
34,sentence-pre,,,4973.6149999953,1,,
34,sentence-pre,,,7022.1250000031,0,,
34,recall-pre,4,6,22333.455,0,SKPRTQ,SPJKQT
34,sentence-pre,,,13173.820000004,0,,
34,sentence-pre,,,,0,,
34,sentence-pre,,,12233.740000003,1,,
34,sentence-pre,,,8308.8800000041,0,,
34,recall-pre,5,4,25206.724999996,1,LKQT,LKQT
34,sentence-pre,,,8771.0050000023,1,,
34,sentence-pre,,,2364.4199999981,1,,
34,sentence-pre,,,11689.064999999,1,,
34,sentence-pre,,,5996.8049999952,1,,
34,sentence-pre,,,8004.1399999973,1,,
34,recall-pre,6,5,24028.985000004,0,HLFST,HFLST
34,sentence-post,,,11319.735000005,1,,
34,sentence-post,,,9218.2499999981,1,,
34,sentence-post,,,6676.7049999982,0,,
34,sentence-post,,,9049.5249999948,1,,
34,sentence-post,,,14572.645,1,,
34,recall-post,1,5,18957.580000002,0,NLRFK,NLRSK
34,sentence-post,,,10892.775,0,,
34,sentence-post,,,10293.600000004,0,,
34,sentence-post,,,10332.020000002,0,,
