id_sujet,id_question_sub,reponse_sub_sujet,id_subject,back_1_level,back_2_level,oxford,typing_speed,age,sexe,groupe
26,1,99,26,0,0,21,47,19,F,Principal RSPAN
26,2,65,26,0,0,21,47,19,F,Principal RSPAN
26,3,62,26,0,0,21,47,19,F,Principal RSPAN
26,4,24,26,0,0,21,47,19,F,Principal RSPAN
26,5,4,26,0,0,21,47,19,F,Principal RSPAN
26,6,23,26,0,0,21,47,19,F,Principal RSPAN
21,1,72,21,1,4,23,63,0,F,Principal N-Back
21,2,26,21,1,4,23,63,0,F,Principal N-Back
21,3,100,21,1,4,23,63,0,F,Principal N-Back
21,4,17,21,1,4,23,63,0,F,Principal N-Back
21,5,50,21,1,4,23,63,0,F,Principal N-Back
21,6,29,21,1,4,23,63,0,F,Principal N-Back
32,1,100,32,0,0,21,48,39,F,Controle RSPAN
32,2,80,32,0,0,21,48,39,F,Controle RSPAN
32,3,65,32,0,0,21,48,39,F,Controle RSPAN
32,4,35,32,0,0,21,48,39,F,Controle RSPAN
32,5,80,32,0,0,21,48,39,F,Controle RSPAN
32,6,37,32,0,0,21,48,39,F,Controle RSPAN
17,1,67,17,2,20,23,28,29,F,Controle N-Back
17,2,50,17,2,20,23,28,29,F,Controle N-Back
17,3,50,17,2,20,23,28,29,F,Controle N-Back
17,4,78,17,2,20,23,28,29,F,Controle N-Back
17,5,50,17,2,20,23,28,29,F,Controle N-Back
17,6,20,17,2,20,23,28,29,F,Controle N-Back
35,1,100,35,2,6,0,0,0,F,Controle N-Back
35,2,89,35,2,6,0,0,0,F,Controle N-Back
35,3,50,35,2,6,0,0,0,F,Controle N-Back
35,4,15,35,2,6,0,0,0,F,Controle N-Back
35,5,19,35,2,6,0,0,0,F,Controle N-Back
35,6,50,35,2,6,0,0,0,F,Controle N-Back
34,1,100,34,0,0,0,27,0,F,Principal N-Back
34,2,82,34,0,0,0,27,0,F,Principal N-Back
34,3,0,34,0,0,0,27,0,F,Principal N-Back
34,4,80,34,0,0,0,27,0,F,Principal N-Back
34,5,0,34,0,0,0,27,0,F,Principal N-Back
34,6,68,34,0,0,0,27,0,F,Principal N-Back
36,1,71,36,0,0,0,0,0,H,Controle RSPAN
36,2,25,36,0,0,0,0,0,H,Controle RSPAN
36,3,50,36,0,0,0,0,0,H,Controle RSPAN
36,4,4,36,0,0,0,0,0,H,Controle RSPAN
36,5,90,36,0,0,0,0,0,H,Controle RSPAN
36,6,49,36,0,0,0,0,0,H,Controle RSPAN
38,1,50,38,0,0,23,0,23,F,Principal N-Back
38,2,73,38,0,0,23,0,23,F,Principal N-Back
38,3,50,38,0,0,23,0,23,F,Principal N-Back
38,4,19,38,0,0,23,0,23,F,Principal N-Back
38,5,100,38,0,0,23,0,23,F,Principal N-Back
38,6,0,38,0,0,23,0,23,F,Principal N-Back
37,1,77,37,4,6,23,0,23,F,Controle N-Back
37,2,100,37,4,6,23,0,23,F,Controle N-Back
37,3,0,37,4,6,23,0,23,F,Controle N-Back
37,4,16,37,4,6,23,0,23,F,Controle N-Back
37,5,76,37,4,6,23,0,23,F,Controle N-Back
37,6,0,37,4,6,23,0,23,F,Controle N-Back
39,1,93,39,6,2,22,0,38,H,Controle N-Back
39,2,18,39,6,2,22,0,38,H,Controle N-Back
39,3,34,39,6,2,22,0,38,H,Controle N-Back
39,4,26,39,6,2,22,0,38,H,Controle N-Back
39,5,7,39,6,2,22,0,38,H,Controle N-Back
39,6,50,39,6,2,22,0,38,H,Controle N-Back
40,1,39,40,0,0,22,0,28,F,Controle RSPAN
40,2,81,40,0,0,22,0,28,F,Controle RSPAN
40,3,50,40,0,0,22,0,28,F,Controle RSPAN
40,4,26,40,0,0,22,0,28,F,Controle RSPAN
40,5,59,40,0,0,22,0,28,F,Controle RSPAN
40,6,42,40,0,0,22,0,28,F,Controle RSPAN
42,1,100,42,0,0,22,0,21,F,Controle RSPAN
42,2,34,42,0,0,22,0,21,F,Controle RSPAN
42,3,10,42,0,0,22,0,21,F,Controle RSPAN
42,4,57,42,0,0,22,0,21,F,Controle RSPAN
42,5,64,42,0,0,22,0,21,F,Controle RSPAN
42,6,69,42,0,0,22,0,21,F,Controle RSPAN
41,1,100,41,1,2,0,0,0,F,Controle N-Back
41,2,76,41,1,2,0,0,0,F,Controle N-Back
41,3,24,41,1,2,0,0,0,F,Controle N-Back
41,4,67,41,1,2,0,0,0,F,Controle N-Back
41,5,74,41,1,2,0,0,0,F,Controle N-Back
41,6,93,41,1,2,0,0,0,F,Controle N-Back
45,1,81,45,1,4,23,0,0,F,Controle N-Back
45,2,65,45,1,4,23,0,0,F,Controle N-Back
45,3,15,45,1,4,23,0,0,F,Controle N-Back
45,4,0,45,1,4,23,0,0,F,Controle N-Back
45,5,14,45,1,4,23,0,0,F,Controle N-Back
45,6,50,45,1,4,23,0,0,F,Controle N-Back
46,1,95,46,0,0,0,0,0,H,Controle RSPAN
46,2,93,46,0,0,0,0,0,H,Controle RSPAN
46,3,6,46,0,0,0,0,0,H,Controle RSPAN
46,4,10,46,0,0,0,0,0,H,Controle RSPAN
46,5,9,46,0,0,0,0,0,H,Controle RSPAN
46,6,90,46,0,0,0,0,0,H,Controle RSPAN
31,1,39,31,4,6,0,23,0,F,Principal N-Back
31,2,70,31,4,6,0,23,0,F,Principal N-Back
31,3,64,31,4,6,0,23,0,F,Principal N-Back
31,4,78,31,4,6,0,23,0,F,Principal N-Back
31,5,15,31,4,6,0,23,0,F,Principal N-Back
31,6,16,31,4,6,0,23,0,F,Principal N-Back
50,1,100,50,0,0,0,0,0,F,Controle RSPAN
50,2,92,50,0,0,0,0,0,F,Controle RSPAN
